Work_Order,Description,Location,Location_Normalized,Asset,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site
23-54119,"Area Asset Checks-1600, 1660, 1700 (Evaps, Corn oil, Decanyers)",1600,1600,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 7:23 AM,2024-01-30T07:23:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54118,"Area Asset Checks-1600, 1660, 1700",1600,1600,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 2:00 AM,2024-01-29T02:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54117,"Area Asset Checks-1500, 6500 (Distillation)",1500,1500,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:58 PM,2024-01-29T13:58:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54116,"Area Asset Checks-1500, 6500",1500,1500,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54115,"Area Asset Checks-2100, 1200, 1300, 1400 (Corn, Mill, Mash, Fermentation)",2100,2100,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 2:30 AM,2024-01-29T02:30:00.000Z,1-30-24 7:59 AM,2024-01-30T07:59:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54114,"Area Asset Checks-2100, 1200, 1300, 1400 (Corn, Mill, Mash, Fermentation)",2100,2100,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54113,"Area Asset Checks-1830, 1840, DDG Cooler",1800,1800,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-5-24 8:52 AM,2024-02-05T08:52:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54112,"Area Asset Checks-1830, 1840, DDG Cooler",1800,1800,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-5-24 8:52 AM,2024-02-05T08:52:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54111,"Area Asset Checks-2200, 2300, 3200, 3600, 4100",2200,2200,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 7:38 AM,2024-01-30T07:38:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54110,"Area Asset Checks-2200, 2300, 3200, 3600, 4100",2200,2200,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 2:30 AM,2024-01-29T02:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54109,"Area Asset Checks-1600, 1660, 1700 (Evaps, Corn oil, Decanyers)",1600,1600,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 10:04 AM,2024-01-29T10:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54108,"Area Asset Checks-1600, 1660, 1700",1600,1600,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54107,"Area Asset Checks-1500, 6500 (Distillation)",1500,1500,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:42 PM,2024-01-29T13:42:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54106,"Area Asset Checks-1500, 6500",1500,1500,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 3:00 AM,2024-01-29T03:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54105,"Area Asset Checks-2100, 1200, 1300, 1400 (Corn, Mill, Mash, Fermentation)",2100,2100,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 5:00 AM,2024-01-29T05:00:00.000Z,2-2-24 7:53 AM,2024-02-02T07:53:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54104,"Area Asset Checks-2100, 1200, 1300, 1400 (Corn, Mill, Mash, Fermentation)",2100,2100,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-1-24 2:30 AM,2024-02-01T02:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54103,BL-1804D WEEKLY GREASING,BL-1804D,BL-1804D,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-1-24 6:36 AM,2024-02-01T06:36:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54102,BL-1804D - WEEKLY BEARING GREASING,BL-1804D,BL-1804D,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54101,5S AND STOCKROOM AUDIT-WEEKLY PM,MAINTENANCE,MAINTENANCE,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-5-24 8:27 AM,2024-02-05T08:27:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54100,TOTE#5 (4) 100' EXPLOSION PROOF EXTENSION CORDS,CHATHAM,CHATHAM,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-26-24 12:00 AM,2024-01-26T00:00:00.000Z,6-20-24 2:12 PM,2024-06-20T14:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54099,"TOTE #4 (4) COATS, (4) BIBS, (10) GLOVES, HARD HAT LINERS, NECK WARMERS, (20) INFERNO PACKS",CHATHAM,CHATHAM,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-26-24 12:00 AM,2024-01-26T00:00:00.000Z,6-20-24 2:12 PM,2024-06-20T14:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54098,TOTE #3 (2) SNAKE INSULATION BLANKETS,CHATHAM,CHATHAM,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-26-24 12:00 AM,2024-01-26T00:00:00.000Z,6-20-24 2:12 PM,2024-06-20T14:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54097,TOTE #2 (2) SNAKE INSULATION BLANKETS,CHATHAM,CHATHAM,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-26-24 12:00 AM,2024-01-26T00:00:00.000Z,6-20-24 2:12 PM,2024-06-20T14:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54096,TOTE #1 250' PORTABLE HEAT TRACING,CHATHAM,CHATHAM,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-26-24 12:00 AM,2024-01-26T00:00:00.000Z,6-20-24 2:12 PM,2024-06-20T14:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54095,COLD WEATHER PLAN (TOTE INSPECTION/AUDIT),CHATHAM,CHATHAM,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-26-24 1:00 AM,2024-01-26T01:00:00.000Z,6-20-24 2:12 PM,2024-06-20T14:12:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54094,Weekly Vibration check (GFE I/E),MI-1201A,MI-1201A,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-29-24 12:17 PM,2024-01-29T12:17:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54093,HAMMERMILL WEEKLY PM & ROTATION CHANGE,MI-1201A,MI-1201A,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-29-24 12:17 PM,2024-01-29T12:17:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54092,MI-1201A - MECHANICAL PM,MI-1201A,MI-1201A,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:30 AM,2024-01-25T00:30:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54091,Weekly Vibration check (GFE I/E),MI-1201B,MI-1201B,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-5-24 8:19 AM,2024-02-05T08:19:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54090,C-MI-1201B - MECHANICAL PM,MI-1201B,MI-1201B,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,2-5-24 8:19 AM,2024-02-05T08:19:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54089,MI-1201B - MECHANICAL PM,MI-1201B,MI-1201B,,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-29-24 12:30 AM,2024-01-29T00:30:00.000Z,2-1-24 1:00 AM,2024-02-01T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54088,PH PROBE CLEANING AND CALIBRATION WEEKLY PM,AT-14125,AT-14125,1230,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,1-25-24 1:57 PM,2024-01-25T13:57:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54087,PH PROBE CLEANING AND CALIBRATION PM,AT-14125,AT-14125,1230,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-25-24 12:30 AM,2024-01-25T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54086,PH PROBE CLEANING AND CALIBRATION WEEKLY PM,AT-13519,AT-13519,1227,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,1-25-24 3:03 PM,2024-01-25T15:03:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54085,PH PROBE CLEANING AND CALIBRATION PM,AT-13519,AT-13519,1227,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-25-24 12:45 AM,2024-01-25T00:45:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54084,HACH SP150 HARDNESS MONITOR 2 MONTH PM,XA-35102,XA-35102,6407,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,6-20-24 2:46 PM,2024-06-20T14:46:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54083,HACH SP150 HARDNESS MONITOR,XA-35102,XA-35102,6407,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,6-20-24 2:46 PM,2024-06-20T14:46:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54082,Agitate the Sludge Bed in the Biothane and preform and record the  Sludge Analysis for the Biothane,T-4126,T-4126,5003,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,6-24-24 8:59 AM,2024-06-24T08:59:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54081,SLUDGE ANALYSIS FOR BIOTHANE DIGESTER,T-4126,T-4126,5003,,,1-1-24 1:51 AM,2024-01-01T01:51:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,6-24-24 8:59 AM,2024-06-24T08:59:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54080,Monitor & fill salt boxes,CHATHAM,CHATHAM,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,1-26-24 11:29 AM,2024-01-26T11:29:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54079,Thursday route - Fill plant salt boxes,CHATHAM,CHATHAM,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-25-24 2:00 AM,2024-01-25T02:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54078,Monitor & fill salt boxes,CHATHAM,CHATHAM,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,1-29-24 3:40 PM,2024-01-29T15:40:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54077,Monday route - Fill plant salt boxes,CHATHAM,CHATHAM,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54076,SCREW CONVEYOR PM,CV-2111,CV-2111,1437,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,5-16-24 10:01 AM,2024-05-16T10:01:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54075,CV-2111 MECHANICAL PM,CV-2111,CV-2111,1437,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 2:00 AM,2024-04-23T02:00:00.000Z,5-16-24 10:01 AM,2024-05-16T10:01:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54074,REMOVE TUNNEL THERMOWELLS ON BOTH DRYERS,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 1:00 AM,2024-04-23T01:00:00.000Z,6-21-24 8:45 AM,2024-06-21T08:45:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54073,RE-INSTALL TUNNEL THERMOCOUPLE  - DR02,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 1:00 AM,2024-04-23T01:00:00.000Z,6-21-24 8:45 AM,2024-06-21T08:45:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54072,CONDUCTIVITY METER /PH PROBE CLEAN & CALIBRATE PM,AE-84404,AE-84404,7174,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,1-25-24 2:00 AM,2024-01-25T02:00:00.000Z,1-25-24 3:03 PM,2024-01-25T15:03:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54071,DRYER SCRUBBER PH PROBE PM,AE-84404,AE-84404,7174,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,1-25-24 12:45 AM,2024-01-25T00:45:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54070,REMOVE SIDE COVER & CHECK VANE CONDITION,RV-1823,RV-1823,4862,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-21-24 11:10 AM,2024-06-21T11:10:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54069,CHECK CHAIN & SPROCKETS FOR WEAR,RV-1823,RV-1823,4862,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-21-24 11:10 AM,2024-06-21T11:10:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54068,CHECK GEARBOX OIL LEVEL,RV-1823,RV-1823,4862,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-21-24 11:10 AM,2024-06-21T11:10:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54067,RV-1823 - MECHANICAL PM,RV-1823,RV-1823,4862,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,4-23-24 2:00 AM,2024-04-23T02:00:00.000Z,6-21-24 11:10 AM,2024-06-21T11:10:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54066,Inspect bottom seal - replace as required,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,5-22-24 1:00 AM,2024-05-22T01:00:00.000Z,8-12-24 8:49 AM,2024-08-12T08:49:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54065,Remove top seal & replace,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,5-22-24 1:00 AM,2024-05-22T01:00:00.000Z,8-12-24 8:49 AM,2024-08-12T08:49:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54064,Check for material in stock,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,5-22-24 12:00 AM,2024-05-22T00:00:00.000Z,8-12-24 8:49 AM,2024-08-12T08:49:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54063,Seal to be changed out at first scheduled Outage,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,5-22-24 12:00 AM,2024-05-22T00:00:00.000Z,8-12-24 8:49 AM,2024-08-12T08:49:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54062,DRYER D INLET SEAL  CHANGE OUT PM DR02,DR-1801D,DR-1801D,,,,1-1-24 1:50 AM,2024-01-01T01:50:00.000Z,10-31-24 2:00 AM,2024-10-31T02:00:00.000Z,8-12-24 8:49 AM,2024-08-12T08:49:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54061,Close Inspection doors and re-seal,E-1824,E-1824,1532,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-20-24 2:17 PM,2024-06-20T14:17:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54060,Cleaning of Duct work as required,E-1824,E-1824,1532,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-20-24 2:17 PM,2024-06-20T14:17:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54059,Visual inspection of Duct work,E-1824,E-1824,1532,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-20-24 2:17 PM,2024-06-20T14:17:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54058,Open Inspection doors,E-1824,E-1824,1532,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-20-24 2:17 PM,2024-06-20T14:17:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54057,E-1824 Duct work inspection/cleaning DR05,E-1824,E-1824,1532,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,6-20-24 2:17 PM,2024-06-20T14:17:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54056,MI-1801 - MECHANICAL PM,MI-1801,MI-1801,3405,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,1-26-24 1:30 AM,2024-01-26T01:30:00.000Z,1-18-24 8:56 AM,2024-01-18T08:56:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54055,MI-1801 - MECHANICAL PM,MI-1801,MI-1801,3405,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,1-26-24 1:30 AM,2024-01-26T01:30:00.000Z,1-18-24 8:56 AM,2024-01-18T08:56:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54054,REMOVE TUNNEL THERMOWELLS ON BOTH DRYERS,DR-1801D,DR-1801D,,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 1:00 AM,2024-04-23T01:00:00.000Z,5-27-24 9:58 AM,2024-05-27T09:58:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54053,REMOVE TUNNEL THERMOCOUPLE,DR-1801D,DR-1801D,,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 1:00 AM,2024-04-23T01:00:00.000Z,5-27-24 9:58 AM,2024-05-27T09:58:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54052,Inspect/clean BL-1824 ducting,BL-1824,BL-1824,1294,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:00 AM,2024-04-23T00:00:00.000Z,5-27-24 9:51 AM,2024-05-27T09:51:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-54051,BL-1824  - INSPECT/ CLEAN DUCT WORK,BL-1824,BL-1824,1294,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 1:00 AM,2024-04-23T01:00:00.000Z,5-27-24 9:51 AM,2024-05-27T09:51:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-54050,AT DCS,LT-14607,LT-14607,3161,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 9:35 AM,2024-01-30T09:35:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54049,IN FIELD,LT-14607,LT-14607,3161,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 9:35 AM,2024-01-30T09:35:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54048,AT DCS,LT-14607,LT-14607,3161,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 9:35 AM,2024-01-30T09:35:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54047,CO2 MAGNETIC FLOAT LEVEL TRANSMITTER  BLOWDOWN,LT-14607,LT-14607,3161,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,1-30-24 12:30 AM,2024-01-30T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54046,RETURN DOORS TO DRYER AREA,1800,1800,,,,1-1-24 1:49 AM,2024-01-01T01:49:00.000Z,4-23-24 12:30 AM,2024-04-23T00:30:00.000Z,5-27-24 9:55 AM,2024-05-27T09:55:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
