WorkOrder_Asset,WorkOrder_Description,Work_Order,Location,Location_Normalized,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site,Assets,Asset_Descriptions,Parent,IsProblematic,Area,Tag_Full,INstrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Instrumentation_Data_Type_Meaning,INstrumentation_Type_Description,Role,Instrumentation_Description,Related_Location_Cleaned
4447,PSV-36802 - Issues found during inspection,23-31262,PSV-36802,PSV-36802,,,1-3-23 9:40 AM,2023-01-03T09:40:00.000Z,4-30-23 9:00 AM,2023-04-30T09:00:00.000Z,5-2-23 10:37 AM,2023-05-02T10:37:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4445,PSV-36703 - Issues found during inspection,23-31263,PSV-36703,PSV-36703,,,1-3-23 9:42 AM,2023-01-03T09:42:00.000Z,4-30-23 8:57 AM,2023-04-30T08:57:00.000Z,10-26-23 8:46 AM,2023-10-26T08:46:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4444,PSV-36702 - Issues found during inspection,23-31264,PSV-36702,PSV-36702,,,1-3-23 9:43 AM,2023-01-03T09:43:00.000Z,12-31-23 8:53 AM,2023-12-31T08:53:00.000Z,10-26-23 8:45 AM,2023-10-26T08:45:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4441,PSV-36400 - Issues found during inspection,23-31265,PSV-36701,PSV-36701,,,1-3-23 9:45 AM,2023-01-03T09:45:00.000Z,4-30-23 8:43 AM,2023-04-30T08:43:00.000Z,10-31-23 2:59 PM,2023-10-31T14:59:00.000Z,4,4,,EC,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,"MOC-052, Seperate main dist and HPA 60 to two manual activation buttons ( in main control room)",23-31266,3100-26K-01,3100-26K-01,,,1-3-23 9:47 AM,2023-01-03T09:47:00.000Z,4-28-23 8:00 PM,2023-04-28T20:00:00.000Z,,,4,4,,EC,CAN,Y,,NO,CHATHAM,,,,,,,,,,,,,,
3581,TA23 Repair leaking welded elbow on P1308 bypass line,23-31267,P-1308,P-1308,,,1-3-23 9:49 AM,2023-01-03T09:49:00.000Z,4-25-23 10:10 AM,2023-04-25T10:10:00.000Z,5-8-23 8:08 AM,2023-05-08T08:08:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
3151,Level  transmitter on P1308B is acting erratic,23-31268,LT-13712,LT-13712,,,1-3-23 9:51 AM,2023-01-03T09:51:00.000Z,1-6-23 9:07 AM,2023-01-06T09:07:00.000Z,1-3-23 10:55 AM,2023-01-03T10:55:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
7750,Replace bypass valve for FV14320 on GA to TK1402,23-31269,FV-14320,FV-14320,,,1-3-23 10:00 AM,2023-01-03T10:00:00.000Z,1-31-23 4:04 PM,2023-01-31T16:04:00.000Z,2-28-23 3:31 PM,2023-02-28T15:31:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
3038,LT13712 on TK1308B reading fluctuation,23-31277,LI-13712,LI-13712,,,1-3-23 10:03 AM,2023-01-03T10:03:00.000Z,6-30-23 10:00 AM,2023-06-30T10:00:00.000Z,1-3-23 12:00 PM,2023-01-03T12:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
6669,Change 600V feed on K-3301A from MCC-3802 to MCC-3816/17,23-31278,K-3301A,K-3301A,,,1-3-23 10:06 AM,2023-01-03T10:06:00.000Z,4-23-23 8:32 AM,2023-04-23T08:32:00.000Z,5-25-23 10:24 AM,2023-05-25T10:24:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
3174,Water leaking from process water line to scrubber,23-31279,LT-16104,LT-16104,,,1-3-23 10:14 AM,2023-01-03T10:14:00.000Z,1-6-23 3:04 AM,2023-01-06T03:04:00.000Z,1-3-23 7:06 AM,2023-01-03T07:06:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
5475,City water line to TK-1902 not connected and cracked,23-31280,TK-1902,TK-1902,,,1-3-23 10:16 AM,2023-01-03T10:16:00.000Z,1-6-23 11:11 PM,2023-01-06T23:11:00.000Z,1-4-23 8:43 AM,2023-01-04T08:43:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
6388,RO-A Primary Pressure Transmitter Not Reading Properly,23-31281,WS-3502A,WS-3502A,,,1-3-23 10:22 AM,2023-01-03T10:22:00.000Z,8-31-23 6:44 AM,2023-08-31T06:44:00.000Z,7-3-24 7:59 AM,2024-07-03T07:59:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
7094,CK Hut H2S monitor calibration,23-31282,4100,4100,,,1-3-23 10:23 AM,2023-01-03T10:23:00.000Z,1-6-23 4:58 PM,2023-01-06T16:58:00.000Z,2-27-23 3:12 PM,2023-02-27T15:12:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
2043,FT-32111 not reading correctly and showing empty pipe alarm in the field,23-31283,FT-32111,FT-32111,,,1-3-23 10:25 AM,2023-01-03T10:25:00.000Z,1-19-23 1:03 PM,2023-01-19T13:03:00.000Z,1-3-23 1:43 PM,2023-01-03T13:43:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1330,Replace light bulb in fixture on east side of Utilities control room,23-31284,BU-UTIL,BU-UTIL,,,1-3-23 10:27 AM,2023-01-03T10:27:00.000Z,1-6-23 11:43 PM,2023-01-06T23:43:00.000Z,1-3-23 1:44 PM,2023-01-03T13:44:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1315,Portable Eyewash Station at Alcohol Loading Rail - power needed to prevent freezing,23-31288,BU-ALCO,BU-ALCO,,,1-3-23 3:58 PM,2023-01-03T15:58:00.000Z,12-23-22 7:14 AM,2022-12-23T07:14:00.000Z,1-3-23 4:04 PM,2023-01-03T16:04:00.000Z,2,2,,SA,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1435,Speed Switch on CV 2108,23-31289,CV-2108,CV-2108,,,1-4-23 4:39 AM,2023-01-04T04:39:00.000Z,1-4-23 8:00 AM,2023-01-04T08:00:00.000Z,1-6-23 7:54 AM,2023-01-06T07:54:00.000Z,1,1,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Inspect cooling tower pump inlet screens,23-31290,CT-3201,CT-3201,,,1-4-23 7:13 AM,2023-01-04T07:13:00.000Z,1-31-23 11:05 AM,2023-01-31T11:05:00.000Z,1-5-23 1:07 PM,2023-01-05T13:07:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1435,CV2108 junction box,23-31292,CV-2108,CV-2108,,,1-4-23 8:59 AM,2023-01-04T08:59:00.000Z,1-4-23 12:00 PM,2023-01-04T12:00:00.000Z,1-6-23 7:54 AM,2023-01-06T07:54:00.000Z,1,1,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
6669,INSPECT VALVE,23-31293,K-3301A,K-3301A,,,1-4-23 3:02 PM,2023-01-04T15:02:00.000Z,12-9-22 8:59 PM,2022-12-09T20:59:00.000Z,1-9-23 3:42 PM,2023-01-09T15:42:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
3585,Clean strainer on P-1312 water line,23-31295,P-1312,P-1312,,,1-4-23 5:20 PM,2023-01-04T17:20:00.000Z,,,1-5-23 3:40 PM,2023-01-05T15:40:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1316,Repair receptacle and Thermostat in ferric dosing hut,23-31298,BU-BIOTH,BU-BIOTH,,,1-5-23 7:08 AM,2023-01-05T07:08:00.000Z,1-11-23 5:27 AM,2023-01-11T05:27:00.000Z,1-9-23 5:59 AM,2023-01-09T05:59:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Steve M sort DCS components,23-31299,,,,,1-12-23 7:23 AM,2023-01-12T07:23:00.000Z,1-20-23 7:23 AM,2023-01-20T07:23:00.000Z,1-12-23 3:07 PM,2023-01-12T15:07:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
3404,Install swing gate at top of CMill,23-31300,MI-1201C,MI-1201C,,,1-5-23 7:48 AM,2023-01-05T07:48:00.000Z,,,1-5-23 10:19 AM,2023-01-05T10:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1314,Install safety treads on the staircase to security trailer,23-31302,BU-ADMIN,BU-ADMIN,,,1-5-23 12:42 PM,2023-01-05T12:42:00.000Z,1-13-23 12:00 PM,2023-01-13T12:00:00.000Z,1-6-23 4:00 PM,2023-01-06T16:00:00.000Z,1,1,,SA,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4868,Clean Weigh Belt,23-31303,SC-1301,SC-1301,,,1-5-23 12:49 PM,2023-01-05T12:49:00.000Z,1-12-23 11:54 AM,2023-01-12T11:54:00.000Z,1-10-23 1:24 PM,2023-01-10T13:24:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
6309,TA 23 Gasket Failure of Chevron wash to V-1630,23-31310,V-1630,V-1630,,OC-MECH,1-5-23 3:33 PM,2023-01-05T15:33:00.000Z,4-24-23 11:12 AM,2023-04-24T11:12:00.000Z,5-24-23 8:22 AM,2023-05-24T08:22:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
P-2303A,TA23 replace gate valve at the presure gauge on p-2303,23-31311,CHATHAM,CHATHAM,,,1-5-23 3:34 PM,2023-01-05T15:34:00.000Z,,,4-27-23 10:12 AM,2023-04-27T10:12:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1487,SD23 - CIP return v/v to E-1400 is passing,23-31312,E-1400,E-1400,,,1-5-23 3:35 PM,2023-01-05T15:35:00.000Z,,,3-9-23 8:38 AM,2023-03-09T08:38:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
6728,Steve M/Viraj- Commission P-1308B Monday,23-31313,P-1305B,P-1305B,,,1-5-23 4:09 PM,2023-01-05T16:09:00.000Z,1-9-23 4:09 PM,2023-01-09T16:09:00.000Z,1-9-23 5:39 PM,2023-01-09T17:39:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
9816,komatsu loader driving issue,23-31314,LD-2100,LD-2100,,,1-6-23 7:13 AM,2023-01-06T07:13:00.000Z,1-6-23 1:00 PM,2023-01-06T13:00:00.000Z,1-6-23 3:13 PM,2023-01-06T15:13:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1117,Clean and inspect witches hat upstream of P1844,23-31315,P-1844,P-1844,,,1-6-23 7:24 AM,2023-01-06T07:24:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-11-23 4:58 PM,2023-01-11T16:58:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,1117,GOULDS PUMP 3196 MTi,,No,,,,,,,,,,
,Phase 2 Replace all building exterior door knobs with push paddles,23-31318,CHATHAM,CHATHAM,,,1-6-23 7:50 AM,2023-01-06T07:50:00.000Z,,,4-11-23 9:21 AM,2023-04-11T09:21:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1117,remove strainer/Clean and inspect,23-31319,P-1844,P-1844,,,1-6-23 8:04 AM,2023-01-06T08:04:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-12-23 6:27 AM,2023-01-12T06:27:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,1117,GOULDS PUMP 3196 MTi,,No,,,,,,,,,,
,,23-31320,,,,,1-6-23 8:05 AM,2023-01-06T08:05:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-6-23 3:14 PM,2023-01-06T15:14:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1117,reinstall,23-31322,P-1844,P-1844,,,1-6-23 8:06 AM,2023-01-06T08:06:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-12-23 6:27 AM,2023-01-12T06:27:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,1117,GOULDS PUMP 3196 MTi,,No,,,,,,,,,,
2536,Reapply silicone around insulation on dryer cyclones,23-31323,CY-1829,CY-1829,,,1-6-23 8:29 AM,2023-01-06T08:29:00.000Z,2-23-23 1:03 PM,2023-02-23T13:03:00.000Z,2-6-23 2:20 PM,2023-02-06T14:20:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,2536,"CYCLONE ASSEMBLY, LEFT HAND, DEDERT MODEL# CYCL-12 B",,No,CH-DRYER_A,CH-DRYER_A:SI18152.MEAS,SI-18152,SI,MEAS,Measured value (PV),Speed indication (feedback),Measurement,CY1829 MID TEMP,CY-1829
2536,Reapply silicone around insulation on dryer cyclones,23-31323,CY-1829,CY-1829,,,1-6-23 8:29 AM,2023-01-06T08:29:00.000Z,2-23-23 1:03 PM,2023-02-23T13:03:00.000Z,2-6-23 2:20 PM,2023-02-06T14:20:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,2536,"CYCLONE ASSEMBLY, LEFT HAND, DEDERT MODEL# CYCL-12 B",,No,CH-DRYER_A,CH-DRYER_A:IT18152.MEAS,IT-18152,IT,MEAS,Measured value (PV),Current transmitter (motor amps),Measurement,CY1829 TOP TEMP,CY-1829
2536,Reapply silicone around insulation on dryer cyclones,23-31323,CY-1829,CY-1829,,,1-6-23 8:29 AM,2023-01-06T08:29:00.000Z,2-23-23 1:03 PM,2023-02-23T13:03:00.000Z,2-6-23 2:20 PM,2023-02-06T14:20:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,2536,"CYCLONE ASSEMBLY, LEFT HAND, DEDERT MODEL# CYCL-12 B",,No,CH-DRYER_A,CH-DRYER_A:SSL18152.CIN,SSL-18152,SSL,CIN,Contact input (discrete),Speed switch (motion proof),Discrete Input,CY1829 BOTTOM TEMP,CY-1829
1491,E-1403 Replacement Project Tie Points,23-31325,E-1403,E-1403,,,1-6-23 8:38 AM,2023-01-06T08:38:00.000Z,4-21-23 2:44 PM,2023-04-21T14:44:00.000Z,5-5-23 3:27 PM,2023-05-05T15:27:00.000Z,4,4,,CP,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
5457,Heat Trace/thermostat on GA recirculation line - ON,23-31326,TK-1310A,TK-1310A,,,1-6-23 8:49 AM,2023-01-06T08:49:00.000Z,1-20-23 8:11 AM,2023-01-20T08:11:00.000Z,1-6-23 8:52 AM,2023-01-06T08:52:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
5468,Internal Inspection TK1601,23-31327,TK-1601,TK-1601,,,1-6-23 8:54 AM,2023-01-06T08:54:00.000Z,4-22-23 8:42 AM,2023-04-22T08:42:00.000Z,5-16-23 2:35 PM,2023-05-16T14:35:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
5449,Level Transimiter on TK11402,23-31328,TK-11402,TK-11402,,,1-6-23 9:00 AM,2023-01-06T09:00:00.000Z,1-18-23 6:37 AM,2023-01-18T06:37:00.000Z,,,4,4,,CO,CAN,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Women's washroom toilets are inadequate,23-31329,BU-ADMIN,BU-ADMIN,,,1-6-23 9:05 AM,2023-01-06T09:05:00.000Z,1-11-23 10:10 AM,2023-01-11T10:10:00.000Z,1-31-23 8:15 AM,2023-01-31T08:15:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1233,Requesting I/E to investigate RC1 base strength analyzer limits (AT-15816),23-31330,AT-15816,AT-15816,,,1-6-23 9:09 AM,2023-01-06T09:09:00.000Z,1-31-23 11:29 AM,2023-01-31T11:29:00.000Z,1-11-23 12:36 PM,2023-01-11T12:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1367,Replace leaking gasket on TGF condenser duct,23-31331,C-1840,C-1840,,,1-6-23 9:56 AM,2023-01-06T09:56:00.000Z,10-31-24 9:26 AM,2024-10-31T09:26:00.000Z,11-19-24 8:32 PM,2024-11-19T20:32:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,1367,TRULY GREEN FARMS CONDENSER,,No,,,,,,,,,,
,R&D sump  Installation,23-31332,,,,,1-6-23 10:00 AM,2023-01-06T10:00:00.000Z,1-11-23 10:00 AM,2023-01-11T10:00:00.000Z,1-9-23 2:00 PM,2023-01-09T14:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1367,Inspect TGF Condenser,23-31333,C-1840,C-1840,,,1-6-23 11:15 AM,2023-01-06T11:15:00.000Z,1-13-23 10:10 AM,2023-01-13T10:10:00.000Z,1-10-23 11:13 AM,2023-01-10T11:13:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,1367,TRULY GREEN FARMS CONDENSER,,No,,,,,,,,,,
2667,Verify Operation on Actuators/see Mike J,23-31342,HV-84597,HV-84597,,,1-6-23 2:16 PM,2023-01-06T14:16:00.000Z,1-13-23 2:16 PM,2023-01-13T14:16:00.000Z,1-11-23 3:16 PM,2023-01-11T15:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,1600 AREA - EQUIPMENT GREASING,23-31344,1600,1600,,,1-9-23 1:45 AM,2023-01-09T01:45:00.000Z,2-4-23 1:00 AM,2023-02-04T01:00:00.000Z,2-16-23 1:00 AM,2023-02-16T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM,,,,,,,,,,,,,,
,1600 AREA 4 MONTH EQUIPMENT GREASE PM,23-31345,1600,1600,,,1-9-23 1:45 AM,2023-01-09T01:45:00.000Z,2-4-23 1:00 AM,2023-02-04T01:00:00.000Z,2-21-23 6:12 AM,2023-02-21T06:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,PROCEDURE - REGREASING OPTIM/ TECO INDUCTION MOTOR,23-31346,1600,1600,,,1-9-23 1:45 AM,2023-01-09T01:45:00.000Z,2-4-23 12:00 AM,2023-02-04T00:00:00.000Z,2-21-23 6:12 AM,2023-02-21T06:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
2481,H-1801D - DRYER D FUEL GAS SYSTEM ROUTINE PM - DR02 ISO 14001,23-31347,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,10-30-23 4:00 AM,2023-10-30T04:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,INSPECT FLAME SENSORS,23-31348,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,TEST ALL ALARMS FOR PROPER SIGNALS,23-31349,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,CHECK SPARK PROBE,23-31350,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,CHECK ALL VALVE MOTORS,23-31351,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,TEST INTERLOCKS,23-31352,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,TEST MANUAL FUEL VALVES,23-31353,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
2481,CHECK FILTERS,23-31354,H-1801D,H-1801D,,,1-9-23 1:46 AM,2023-01-09T01:46:00.000Z,5-4-23 12:00 AM,2023-05-04T00:00:00.000Z,8-2-23 7:59 AM,2023-08-02T07:59:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,2481,DRYER D COMBUSTION AIR BURNER,,No,,,,,,,,,,
